id,username,email,password_hash,roles
1,Alice,alice@example.com,scrypt:32768:8:1$1SFE7GsSH2RUYvB5$50081677f99c315e1711b399e4f0243b9df81773f54eb2b0ffd7ff0958dca75d623b560efcaa92b6157692119300d11d65b4db33dd94337a982b275d2369ae3d,"User,Warehouse Manager"
2,Bob,bob@example.com,scrypt:32768:8:1$IWoPizprXzRBv0eo$3c8f1e934c68e8d60cb42c09e1dd2bce71e8a1d11274a06a1cdabb7c60616bdd55aea12b52e784d5fd38bb11e2288aa2cd9578ee7a246f8be52624c1e777ec50,"User"
3,Charlie,charlie@example.com,scrypt:32768:8:1$CqyOisOhHJ60Vxgv$ff6c81ea2eacfe54a75c62d745080db01432986904fb6e92ef660925d08399129d90dd21098dab6d414038f293dd5c3f5ac206e1111785c5a4d9785bde33917d,"User,Doctor"
4,David,david@example.com,scrypt:32768:8:1$BeBBK6dWNJZLTP5Q$ab6becd9b54ccd63b273a1fb96196896da52bbd9eff7636108f624d5391dfd9e5c2dd3b38d0aa2f3e4d0baf5e2942a8233af8bc8a795e9aa88fd6f2ca0a9e236,"User,Doctor"
5,Eva,eva@example.com,scrypt:32768:8:1$eDA6Qt8KGFoLAC0l$83550dd252df8ad51eccf931ea0aca941f6f8ddcfd45700670e1a9f935617ce0a572ddfc57d3a60b2a6694a10ca86cfe5230ce8cb58710d5295bcf77ee69eb3a,"User"
6,Frank,frank@example.com,scrypt:32768:8:1$uFBtFLOGYX81x9Gw$bea7891bcbd467a0d61fd338e99d80bc3faf012ab54874298b2fc0678b4948dfa3a3d8d5b153c9ccbff9ed49a862096498135afe7d725efd162a8aa08f433e93,"User,Doctor"
7,Grace,grace@example.com,scrypt:32768:8:1$jeHYZivGvWOZf7Qm$cc817703de8b60c7aad26f3d34d79e82ec14d56a14ac11af7fd485c757e23ddf236968de34c4746e9ed2f5810a22fd3aaf2f320e504417c0321886f9de70d782,"User,Doctor"
8,Hannah,hannah@example.com,scrypt:32768:8:1$YhkKndtG9ZeukpP7$d86b85eb28bf3bc2daf73172c66ae018ce1b618dc48f20b9034b42ed1a97be56faa30438f5edf3537f3ff7d17e8da78aa53ed165b0198c7ba4e1260877b898d0,User
9,Ivy,ivy@example.com,scrypt:32768:8:1$o6fNy6VvfwmLe85u$bb6858d2e6d20ad2c6d3bb84257dca6dd1be9e113278b08731aeb649f97a97224823d5c65db190448ded5a97f63fa736797f9986494dbc6e7ed333fc9f989bd9,"User,Doctor"
10,Jack,jack@example.com,scrypt:32768:8:1$jY7EV3AyMPHPs18i$277296729bed81f2404e96d9ab07e8d7909430ba824e0bbba3d9676c5e220bd0aabfc1de4963ec5fa04df9c4dd9ce3ed959c01d2edd5f875c57d925693aaa765,User
11,Karen,karen@example.com,scrypt:32768:8:1$Yu17D8grQcdxZ9oR$65e2d63a241e77ea28e5549a139151fc393ec688b6583d189987c49b0cb7954f499223df3ac8221e1a56a395ec4a91fc1f0801e01908a929e59477917c68791b,User
12,Liam,liam@example.com,scrypt:32768:8:1$kthbzdc3dS6ADtlf$6a541055ce9f7447b5a4efdd20dc21e341672292d7fa420b009975cc9580fd2c61df269e2dbd359591bee9430abd073cfe0e872891f6444cbb49d0e561b6bc46,User
13,Mia,mia@example.com,scrypt:32768:8:1$N6sDizczf9gpyDg6$1bd16256bf70077664f72723e703cd56cb458bf14bbaca9fe0a61c899f6aa6fd4448ab40d7c668eeee83da985cede540adb8196eadc8b2c333264037149e41b6,User
14,Noah,noah@example.com,scrypt:32768:8:1$RmdO8K2YNXduMrWn$82e91cf12f7de8a767a3fcad5939f9d18af26eaa85cad408bb6c716d1857d0563ac53331825abbb35332205816864e33cc8095dcc706724801e4707ca41d09aa,User
15,Olivia,olivia@example.com,scrypt:32768:8:1$FEpewz6tdZvuJZJe$27eb7cc735ff37baf727d25a55c3ee433680d846756467aef6f7d224139351288236ed903a4f97fe8fbee7883608edf7f17d4cfe0d75b528bd0be388bf0eff0b,User
16,Paul,paul@example.com,scrypt:32768:8:1$MjhLLP3wzvYEDuv3$19b7343f6bcc3d7cf55822eca667e770ba3fe1a96175e9ff9df6a210225950aad8507ca0cc31a6565264bd1d526b7d8e47d39a81635ef912bae1d0e88ed295a1,User
17,Quinn,quinn@example.com,scrypt:32768:8:1$tDmNkNnMAHQHwODB$8cea2bdeccad78fdf6df5c2ac2d2caa50b95a90a4cc4bfac19eabba2ae123e426411f1c37b477bcc8eaeb1def2a3a1fe2ab78499ae42df600d9d333fd33c4cbb,User
18,Rachel,rachel@example.com,scrypt:32768:8:1$PE87U02dRsa1ybic$6a125cf0b0b0fb6961cd7331bcd02f4ddbc057f441792802ed17c010d1b3908f5f93d3c8bd3cbaed3872172a0d79eecd9b9268e83bd62d8e4d8f66eab0692a04,User
19,Sophia,sophia@example.com,scrypt:32768:8:1$6k2yGwbg5N71yyFY$b22d1829c284be4ddc59c5c10e91484e7b1a1b07efcf4a69919f1c54ba2ff639fb5335b2eab4cb9cefc7e22d5e8e62d62814385ee9c46c2df569e669d6aa63d6,User
